1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
X	chrX
Y	chrY
GL456210.1	chr1_GL456210_random
GL456211.1	chr1_GL456211_random
GL456212.1	chr1_GL456212_random
GL456213.1	chr1_GL456213_random
GL456221.1	chr1_GL456221_random
GL456216.1	chr4_GL456216_random
GL456350.1	chr4_GL456350_random
JH584292.1	chr4_JH584292_random
JH584293.1	chr4_JH584293_random
JH584294.1	chr4_JH584294_random
JH584295.1	chr4_JH584295_random
GL456354.1	chr5_GL456354_random
JH584296.1	chr5_JH584296_random
JH584297.1	chr5_JH584297_random
JH584298.1	chr5_JH584298_random
JH584299.1	chr5_JH584299_random
GL456219.1	chr7_GL456219_random
GL456233.1	chrX_GL456233_random
JH584300.1	chrY_JH584300_random
JH584301.1	chrY_JH584301_random
JH584302.1	chrY_JH584302_random
JH584303.1	chrY_JH584303_random
GL456239.1	chrUn_GL456239
GL456359.1	chrUn_GL456359
GL456360.1	chrUn_GL456360
GL456366.1	chrUn_GL456366
GL456367.1	chrUn_GL456367
GL456368.1	chrUn_GL456368
GL456370.1	chrUn_GL456370
GL456372.1	chrUn_GL456372
GL456378.1	chrUn_GL456378
GL456379.1	chrUn_GL456379
GL456381.1	chrUn_GL456381
GL456382.1	chrUn_GL456382
GL456383.1	chrUn_GL456383
GL456385.1	chrUn_GL456385
GL456387.1	chrUn_GL456387
GL456389.1	chrUn_GL456389
GL456390.1	chrUn_GL456390
GL456392.1	chrUn_GL456392
GL456393.1	chrUn_GL456393
GL456394.1	chrUn_GL456394
GL456396.1	chrUn_GL456396
JH584304.1	chrUn_JH584304
GL456079.1	na
GL456024.2	na
GL456006.1	na
GL456007.1	na
GL456008.1	na
GL456011.1	na
GL456025.1	na
GL456026.2	na
GL456014.1	na
GL456017.2	na
GL456074.1	na
JH584305.1	na
GL456019.1	na
JH584306.1	na
JH584307.1	na
JH584308.1	na
JH584309.1	na
JH590470.1	na
GL456031.1	na
GL456032.1	na
GL456033.2	na
GL456013.1	na
GL455991.1	na
GL455992.2	na
GL455993.1	na
GL455994.1	na
GL455995.1	na
GL455996.1	na
GL455997.1	na
GL455998.1	na
GL455999.2	na
GL456000.1	na
GL456001.2	na
JH584310.1	na
JH584311.1	na
JH584312.1	na
JH584313.1	na
JH584314.1	na
GL456002.2	na
GL456021.2	na
GL456003.2	na
GL456004.1	na
GL456005.1	na
JH584315.1	na
GL456010.1	na
GL456012.2	na
GL456065.1	na
GL456016.1	na
GL456020.1	na
GL456028.2	na
GL456022.2	na
GL455990.1	na
GL456080.1	na
GL456081.1	na
GL456082.1	na
GL455989.1	na
GL456068.1	na
JH584316.1	na
JH584317.1	na
JH584318.1	na
GL456071.1	na
GL456072.1	na
GL456073.1	na
JH584320.1	na
JH584321.1	na
JH584322.1	na
GL456042.2	na
GL456044.2	na
GL456045.2	na
GL456048.1	na
GL456049.2	na
JH584323.1	na
GL456053.2	na
JH584324.1	na
JH584325.1	na
JH584326.1	na
GL456060.2	na
JH584327.1	na
JH584328.1	na
GL456050.1	na
GL456054.2	na
JH584264.1	na
JH584265.1	na
JH584266.1	na
JH584267.1	na
GL456349.1	na
GL456070.1	na
GL456009.1	na
GL456064.1	na
GL456015.1	na
GL456069.1	na
JH584319.1	na
GL456075.1	na
GL456076.1	na
GL456077.1	na
JH584268.1	na
JH584269.1	na
GL456078.1	na
JH584270.1	na
AY172335.1	chrM
